sample,NAME,Fern,Willow,Xenia,Vegas,Unity,Scottie,Heath,Halcyone,B3650
3388_1_S1.aligned.sorted.bam,anc,2.71849257829599,2.78149716385715,1.5316061911926,89.1958926097759,0.0175072522774696,4.11305728199747,3.50094305730196,2.98966461896065,152.410793486525
3388_10_S2.aligned.sorted.bam,Heath_y,3.23750748951468,3.20707837341216,4.53244125626523,106.566349304074,0.0113668655868144,4.52079016066959,3.72408060566576,3.59499472064341,191.29622373564
3388_11_S3.aligned.sorted.bam,Heath_x,2.84997004194128,2.72621948783508,2.83132078614257,97.5988258317025,0.0124471340645738,4.53936573688033,3.21979653234107,3.25905886578959,151.897195291916
3388_12_S4.aligned.sorted.bam,Heath_z,4.03818653884562,4.13950143815916,5.65161882893226,133.320926039926,0.0210323733589937,4.91186754422049,6.74801816569478,6.56647678417885,215.490006540406
3388_13_S5.aligned.sorted.bam,Scot_B,3.26822448571999,3.1542640303575,1.58580212409167,95.9868730622925,0.0173036795765688,3.3600477391461,3.82770345184419,3.45446993848503,165.904963203602
3388_14_S6.aligned.sorted.bam,Scot_y,3.45659971305595,3.12155753058866,4.01531738730451,93.377487083654,0.0187911118241617,3.38611682435212,3.20934151108715,4.1023763544684,170.339993723601
3388_15_S7.aligned.sorted.bam,Scot_r,3.1269429016662,2.97275705041144,3.16372428265134,99.8587730870712,0.0135172413793103,3.89277772836432,4.06655290102389,3.85185767201706,166.348571027154
3388_16_S8.aligned.sorted.bam,Scot_t,2.79610913594056,3.04881361348566,1.64093507813493,92.4692006683081,0.00701655113877493,3.24063293313737,4.46761567744357,4.31897686665413,154.698667204159
3388_17_S9.aligned.sorted.bam,Scot_a,13.3353613569322,12.9725024363263,134.365570271188,100.915103024989,0.0105113237447594,4.43079035210509,4.0706015098192,4.51572952206969,174.255986172626
3388_18_S10.aligned.sorted.bam,Scot_B,12.7966333868971,12.8601943793294,134.733781031808,100.804423595432,0.0149277496914932,4.53003039350171,3.5916034295851,4.17407088689292,169.28832077326
3388_19_S11.aligned.sorted.bam,Scot_#1,14.6523651495997,14.5020152261532,143.184431399185,111.498663043002,0.0106892328248525,3.99701768819416,3.94428304627516,4.74305141949573,191.148859870395
3388_2_S12.aligned.sorted.bam,F_yb,91.7986467630256,88.6015263157895,88.8454878374118,95.0992568885771,0.0234605597964377,4.34656340755082,4.18886490285657,4.03964911339432,173.776588178685
3388_20_S13.aligned.sorted.bam,Unity_ab,2.82781483404561,2.55607924588592,3.26897028334485,93.5617130677448,0.00582519747419438,2.73488204574104,3.48383718494729,3.82272898402625,160.241872582068
3388_21_S14.aligned.sorted.bam,Unity_x,2.87456557344306,3.13386864813039,3.3653177073796,94.9054036229335,0.0164704550599955,4.46464700817908,3.67553650183556,3.18005824551111,171.019946983435
3388_22_S15.aligned.sorted.bam,Unity_z,3.15949670461354,3.2086928731224,2.00564065159251,97.7190017513135,0.0152584398245279,3.63637028549138,2.5738112522686,3.50946065018782,169.689205559857
3388_23_S16.aligned.sorted.bam,Unity_l,2.93732774116237,3.00595238095238,3.4322244747512,95.2720736962448,0.0199190787426082,3.8929190944269,3.93538820992092,4.25398101978446,158.053034483962
3388_24_S17.aligned.sorted.bam,Unity_m,3.49890180104628,3.76148438124151,4.52913063268093,130.139215772372,0.0200071272208929,5.6944193870834,5.59288516309313,6.12633075004693,206.520419320766
3388_25_S18.aligned.sorted.bam,Unity_o,2.43503614650318,2.62138520530436,2.61599214671367,84.2050803547906,0.0180294565769426,4.13355565715515,4.02629739177198,3.56892196904557,139.486680316814
3388_26_S19.aligned.sorted.bam,V_aa,13.3115781710914,13.4467597471022,130.91415195032,103.979789122953,0.00407949181187715,3.44588253608202,3.52824681156817,4.08721351997636,169.159254930616
3388_27_S20.aligned.sorted.bam,V_x,14.2844764011799,14.2924381699897,139.169476314066,110.490585063241,0.0191102277939153,3.74556990204809,4.46259033393332,4.27001464637688,174.49937855774
3388_28_S21.aligned.sorted.bam,V_y,13.6865203761755,14.0939409905163,132.344184354154,101.997984445175,0.0129198301376914,4.67629248862933,4.08869241507678,3.57439493022315,169.730004256196
3388_29_S22.aligned.sorted.bam,Wa_a,2.41093756241761,1.89985619557402,3.3253621522189,97.3339416058394,0.029510556621881,5.4348597703622,5.02452916364418,5.07091607771478,164.325820317558
3388_3_S23.aligned.sorted.bam,F_x,60.1877501579945,58.9745512921733,71.0195274597322,90.8460071461452,0.0157825515124945,4.58716779717558,5.49333619948409,4.10124166197862,161.544217762036
3388_30_S24.aligned.sorted.bam,Wa_x,1.79483724775699,1.73370896619304,1.65808206493431,66.0634892718959,0.0271673508814296,2.85083214583389,1.9099497597204,3.14699876403891,114.93444874605
3388_31_S25.aligned.sorted.bam,Wa_z,2.47996644429353,1.65850831203731,2.82177303982648,88.5464082698681,0.0147639967101964,3.10661837935718,3.99608229641493,4.26092565715207,154.42096424768
3388_32_S26.aligned.sorted.bam,XIII_Ba,2.77437782127592,2.56319910514541,3.08829259652852,80.78409865254,0.0105311885198472,3.938600269179,3.6427841703409,2.56038414401382,149.471190892748
3388_33_S27.aligned.sorted.bam,XIII_Bb,3.76446858649199,3.5216522850751,4.2970878238936,111.042445157603,0.0245450510430537,4.94718726470905,4.34152929123591,4.4136797188755,187.048197462028
3388_34_S28.aligned.sorted.bam,XIII_z,3.18743258898254,3.27763649368195,2.53413624005895,110.281904133685,0.0284412157763081,4.15135775224049,3.32538019238003,3.87153767546926,185.226928980355
3388_4_S29.aligned.sorted.bam,F_z,81.4329839898884,78.1085977616853,76.9580604472905,93.9223688247929,0.0172431630858365,4.17162311273784,4.08995994659546,3.34833326414546,161.535509518937
3388_5_S30.aligned.sorted.bam,Hal_ab,3.38061938061938,3.41658676893576,4.18428433491195,108.681059690008,0.0107072414764722,4.86279133659966,5.37080825451419,4.14067937405985,185.218231287645
3388_6_S31.aligned.sorted.bam,Hal_Bb,3.17500898813566,2.97974754334106,1.94150679710329,93.1787198487214,0.0075382295929356,4.18041299948802,4.12151089380222,4.23839974206722,161.820066978388
3388_7_S32.aligned.sorted.bam,Hal_yb,2.63350910834132,2.58464488295918,1.95958182835631,84.8746399912059,0.00943659470840415,3.80759922555663,3.95031456686562,3.94948439801795,150.055742181877
3388_8_S33.aligned.sorted.bam,Heath_a,3.4731985940246,3.25248651887358,3.76861176254196,99.5187660781425,0.010599473199835,3.81346536784888,4.14778537215435,4.38695981394343,166.95661931479
3388_9_S34.aligned.sorted.bam,Heath_B,2.81640234889945,3.26615802508588,1.52496960855823,90.0778381230898,0.0143150450553211,4.36887251606658,3.98280908910498,3.42849436990088,159.554602208083
